Feature,Importance,Std
trabecular_number,0.013555555555555609,0.009477719160949385
trabecular_thickness,0.01111111111111116,0.008833158628600795
bone_fraction,0.010444444444444506,0.00810730504309097
graph_edges,0.009777777777777835,0.006378977819736584
graph_nodes,0.008888888888888936,0.007166451331820927
trabecular_spacing,0.008666666666666711,0.009159761709122206
fractal_dimension,0.007555555555555604,0.008444444444444447
graph_density,0.007333333333333391,0.005310134731266018
graph_mean_degree,0.005777777777777826,0.006607141665474894
graph_clustering,0.005111111111111155,0.006482645398139923
glcm_contrast_8,0.003777777777777808,0.002905932629027118
glcm_dissimilarity_8,0.003777777777777808,0.002905932629027118
glcm_contrast_11,0.003777777777777808,0.003227964232518662
graph_max_degree,0.0035555555555555783,0.0030143688813890276
glcm_dissimilarity_9,0.003111111111111142,0.0034712220781807335
glcm_dissimilarity_11,0.0031111111111111365,0.003744955454745061
glcm_contrast_9,0.0031111111111111313,0.0028458329944146175
glcm_dissimilarity_10,0.0026666666666666948,0.0038232556742411714
hist_bin_10,0.0026666666666666896,0.003555555555555567
glcm_contrast_10,0.0024444444444444656,0.0029731307022799287
hist_bin_2,0.002000000000000035,0.005347204184673759
hog_2,0.0020000000000000183,0.0026199613605670242
hog_26,0.0020000000000000183,0.0026199613605670242
hog_11,0.0020000000000000183,0.0026199613605670242
hog_6,0.0020000000000000183,0.0026199613605670242
hog_3,0.0020000000000000183,0.0026199613605670242
hist_bin_7,0.0017777777777778225,0.00787557562074193
glcm_contrast_1,0.0015555555555555657,0.0021198648920376707
glcm_contrast_5,0.0015555555555555657,0.0021198648920376707
hog_38,0.0013333333333333474,0.002474561939035568
glcm_dissimilarity_4,0.0013333333333333474,0.002474561939035568
hog_20,0.0013333333333333474,0.002474561939035568
glcm_contrast_3,0.001333333333333342,0.0028458329944146175
glcm_contrast_7,0.001333333333333342,0.0028458329944146175
hog_39,0.001111111111111124,0.002383067843280804
hog_35,0.0011111111111111183,0.0019245008972987646
glcm_dissimilarity_3,0.0011111111111111183,0.001924500897298765
glcm_correlation_8,0.0011111111111111183,0.002383067843280817
glcm_dissimilarity_7,0.0011111111111111183,0.001924500897298765
